"episode","first","references"
"S01E07","Daenerys",3
"S01E08","Daenerys",0
"S01E09","Daenerys",0
"S01E10","Daenerys",1
"S02E01","Daenerys",0
"S02E02","Daenerys",0
"S02E03","Daenerys",0
"S02E04","Daenerys",2
"S02E05","Daenerys",1
"S02E06","Daenerys",1
"S02E07","Daenerys",1
"S02E08","Daenerys",1
"S02E09","Daenerys",0
"S02E10","Daenerys",1
"S03E01","Daenerys",1
"S03E02","Daenerys",0
"S03E03","Daenerys",0
"S03E04","Daenerys",1
"S03E05","Daenerys",1
"S03E06","Daenerys",0
"S03E07","Daenerys",1
"S03E08","Daenerys",0
"S03E09","Daenerys",0
"S03E10","Daenerys",1
"S04E01","Daenerys",0
"S04E02","Daenerys",0
"S04E03","Daenerys",1
"S04E04","Daenerys",1
"S04E05","Daenerys",0
"S04E06","Daenerys",3
"S04E07","Daenerys",0
"S04E08","Daenerys",2
"S04E09","Daenerys",0
"S04E10","Daenerys",1
"S05E01","Daenerys",1
"S05E02","Daenerys",1
"S05E03","Daenerys",1
"S05E04","Daenerys",2
"S05E05","Daenerys",2
"S05E06","Daenerys",3
"S05E07","Daenerys",0
"S05E08","Daenerys",0
"S05E09","Daenerys",0
"S05E10","Daenerys",1
"S06E01","Daenerys",2
"S06E02","Daenerys",3
"S06E03","Daenerys",0
"S06E04","Daenerys",1
"S06E05","Daenerys",4
"S06E06","Daenerys",1
"S06E07","Daenerys",0
"S06E08","Daenerys",1
"S06E09","Daenerys",1
"S06E10","Daenerys",1
"S07E01","Daenerys",3
"S07E02","Daenerys",8
"S07E03","Daenerys",9
"S07E04","Daenerys",2
"S07E05","Daenerys",8
"S07E06","Daenerys",4
"S07E07","Daenerys",8
"S01E01","Davos",0
"S01E02","Davos",0
"S01E03","Davos",0
"S01E04","Davos",0
"S01E05","Davos",0
"S01E06","Davos",0
"S01E07","Davos",0
"S01E08","Davos",0
"S01E09","Davos",0
"S01E10","Davos",0
"S02E01","Davos",2
"S02E02","Davos",1
"S02E03","Davos",0
"S02E04","Davos",4
"S02E05","Davos",1
"S02E06","Davos",0
"S02E07","Davos",0
"S02E08","Davos",1
"S02E09","Davos",0
"S02E10","Davos",0
"S03E01","Davos",4
"S03E02","Davos",0
"S03E03","Davos",0
"S03E04","Davos",0
"S03E05","Davos",1
"S03E06","Davos",0
"S03E07","Davos",0
"S03E08","Davos",1
"S03E09","Davos",0
"S03E10","Davos",4
"S04E01","Davos",0
"S04E02","Davos",1
"S04E03","Davos",1
"S04E04","Davos",0
"S04E05","Davos",0
"S04E06","Davos",4
"S04E07","Davos",0
"S04E08","Davos",0
"S04E09","Davos",0
"S04E10","Davos",0
"S05E01","Davos",0
"S05E02","Davos",2
"S05E03","Davos",0
"S05E04","Davos",1
"S05E05","Davos",1
"S05E06","Davos",0
"S05E07","Davos",1
"S05E08","Davos",0
"S05E09","Davos",0
"S05E10","Davos",0
